	val
1979	87662
1980	85153
1981	87185
1982	85728
1983	86887
1984	87600
1985	87804
1986	87915
1987	87972
1988	85745
1989	86817
1990	89918
1991	87430
1992	85706
1993	86351
1994	85424
1995	90781
1996	88329
1997	86183
1998	85691
1999	86779
2000	87654
2001	87523
2002	88938
2003	89033
2004	87911
2005	89650
2006	85741
2007	88822
2008	86877
2009	89643
2010	89901
2011	86187
2012	86301
